trade_id,strategy_id,stock_code,stock_name,side,fill_date,fill_time,fill_price,shares,consideration_twd,fee_twd,tax_twd,cash_out_twd,cash_in_twd,currency,source
X-0467,BREAKOUT,1590,亞德客-KY,BUY,2026-08-11,,1535,63,96705,137,0,96842,0,TWD,20260820庫存表.xlsx
X-034X,BREAKOUT,1709,和益,BUY,2026-08-11,,26.85,3000,80550,114,0,80664,0,TWD,20260820庫存表.xlsx
X-048H,BREAKOUT,1709,和益,BUY,2026-08-11,,26.95,400,10780,15,0,10795,0,TWD,20260820庫存表.xlsx
X-04C4,BREAKOUT,1709,和益,BUY,2026-08-11,,27,244,6588,9,0,6597,0,TWD,20260820庫存表.xlsx
X-02K0,YOY,2301,光寶科,BUY,2026-08-11,,271.5,261,70861,100,0,70961,0,TWD,20260820庫存表.xlsx
X-02Q7,MARGIN,2354,鴻準,BUY,2026-08-11,,62.8,788,49486,70,0,49556,0,TWD,20260820庫存表.xlsx
X-02M0,YOY,2395,研華,BUY,2026-08-11,,667,106,70702,100,0,70802,0,TWD,20260820庫存表.xlsx
X-026V,YOY,2397,友通,BUY,2026-08-11,,65.5,1000,65500,93,0,65593,0,TWD,20260820庫存表.xlsx
X-0310,YOY,2397,友通,BUY,2026-08-11,,65.5,45,2947,4,0,2951,0,TWD,20260820庫存表.xlsx
X-038B,BREAKOUT,2408,南亞科,BUY,2026-08-11,,477,198,94446,134,0,94580,0,TWD,20260820庫存表.xlsx
X-02L0,YOY,3006,晶豪科,BUY,2026-08-11,,268,257,68876,98,0,68974,0,TWD,20260820庫存表.xlsx
X-02HV,YOY,3702,大聯大,BUY,2026-08-11,,126.5,546,69069,98,0,69167,0,TWD,20260820庫存表.xlsx
X-03FY,YOY,2059,川湖,BUY,2026-08-12,,11980,5,59900,85,0,59985,0,TWD,20260820庫存表.xlsx
X-01GH,YOY,2103,台橡,BUY,2026-08-12,,27.75,2000,55500,79,0,55579,0,TWD,20260820庫存表.xlsx
X-01YH,YOY,2103,台橡,BUY,2026-08-12,,27.6,584,16118,22,0,16140,0,TWD,20260820庫存表.xlsx
X-015L,TRUST,3044,健鼎,BUY,2026-08-14,,495,200,99000,141,0,99141,0,TWD,20260820庫存表.xlsx
X-01FZ,MARGIN,1709,和益,BUY,2026-08-18,,31.6,305,9638,13,0,9651,0,TWD,20260820庫存表.xlsx
X-00ZG,TRUST,2609,陽明,BUY,2026-08-18,,54.7,1000,54700,77,0,54777,0,TWD,20260820庫存表.xlsx
X-00ZX,TRUST,2301,光寶科,BUY,2026-08-19,,268.5,365,98002,139,0,98141,0,TWD,20260820庫存表.xlsx
X-01J5,TRUST,2606,裕民,BUY,2026-08-19,,68.7,1000,68700,97,0,68797,0,TWD,20260820庫存表.xlsx
X-013M,TRUST,6672,騰輝電子-KY,BUY,2026-08-19,,282,347,97854,139,0,97993,0,TWD,20260820庫存表.xlsx
X-07P7,YOY,3702,大聯大,SELL,2026-08-19,,107,546,58422,83,175,0,58164,TWD,20260820庫存表.xlsx
X-00ZX-20260825,MARGIN,2637,慧洋-KY,BUY,2026-08-25,10:14:13,97.80,1000,97800,139,0,97939,0,TWD,owner_pasted_fill_2026-08-25T10:14:13
X-06D7,TRUST,2606,裕民,SELL,2026-08-27,12:24:20,73.8,1000,73800,105,221,0,73474,TWD,owner_pasted_fill_2026-08-27T12:24:20
X-034W-20260828,TRUST,6727,亞泰金屬,BUY,2026-08-28,,525,189,99225,141,0,99366,0,TWD,owner_broker_confirmation_2026-08-28#X-034W
X-03D9-20260828,TRUST,3044,健鼎,SELL,2026-08-28,,497,200,99400,141,298,0,98961,TWD,owner_broker_confirmation_2026-08-28#X-03D9
X-01MY-20260901,TRUST,1717,長興,BUY,2026-09-01,,81.7,1000,81700,116,0,81816,0,TWD,owner_broker_confirmation_2026-09-01#X-01MY
X-01Q7-20260901,TRUST,1717,長興,BUY,2026-09-01,,81.7,210,17157,24,0,17181,0,TWD,owner_broker_confirmation_2026-09-01#X-01Q7
X-02RG-20260901,TRUST,6672,騰輝電子-KY,SELL,2026-09-01,,279,347,96813,137,290,0,96386,TWD,owner_broker_confirmation_2026-09-01#X-02RG
X-04GY-20260901,BREAKOUT,1709,和益,SELL,2026-09-01,,36.3,3000,108900,155,326,0,108419,TWD,owner_broker_confirmation_2026-09-01#X-04GY
X-03WH-20260903,MARGIN,6108,競國,BUY,2026-09-03,,23.4,2000,46800,66,0,46866,0,TWD,owner_broker_confirmation_2026-09-03#X-03WH
X-03YQ-20260903,MARGIN,1712,興農,BUY,2026-09-03,,40.7,1000,40700,57,0,40757,0,TWD,owner_broker_confirmation_2026-09-03#X-03YQ
X-05F6-20260903,MARGIN,6108,競國,BUY,2026-09-03,,23.55,136,3202.8,4,0,3206.8,0,TWD,owner_broker_confirmation_2026-09-03#X-05F6
X-089S-20260903,MARGIN,1712,興農,BUY,2026-09-03,,40.5,66,2673,3,0,2676,0,TWD,owner_broker_confirmation_2026-09-03#X-089S
X-03SJ-20260904,TRUST,2489,瑞軒,BUY,2026-09-04,,39.55,3000,118650,169,0,118819,0,TWD,owner_broker_confirmation_2026-09-04#X-03SJ
X-0411-20260904,YOY,2059,川湖,SELL,2026-09-04,,13480,5,67400,96,202,0,67102,TWD,owner_broker_confirmation_2026-09-04#X-0411
X-040C-20260904-TRUST-309.5,TRUST,2301,光寶科,SELL,2026-09-04,,309.5,254,78613,111,235,0,78267,TWD,owner_broker_confirmation_2026-09-04#X-040C
X-040C-20260904-YOY-309.5,YOY,2301,光寶科,SELL,2026-09-04,,309.5,261,80779.5,116,243,0,80420.5,TWD,owner_broker_confirmation_2026-09-04#X-040C
X-040C-20260904-308.5,TRUST,2301,光寶科,SELL,2026-09-04,,308.5,111,34243.5,48,102,0,34093.5,TWD,owner_broker_confirmation_2026-09-04#X-040C
X-04RD-20260904,YOY,2395,研華,SELL,2026-09-04,,717,106,76002,108,228,0,75666,TWD,owner_broker_confirmation_2026-09-04#X-04RD
