asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-08-27,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,92829,0,0,96842,1537.17,1480.0,10,0.68,-4013,7.33,-4.13,TWD,
2026-08-27,,USER_PASTED_EOD,現股,1709,和益,3949,3949,134266,0,0,103758,26.27,34.15,-2.95,-7.95,30508,10.60,29.4,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2059,川湖,5,5,71383,0,0,59730,11946.0,14340.0,-170,-1.17,11653,5.63,19.51,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,71390,0,0,71719,27.76,27.75,-0.45,-1.60,-329,5.63,-0.46,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2301,光寶科,626,626,187595,0,0,168449,269.09,301.0,-6,-1.95,19146,14.80,11.37,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2354,鴻準,788,788,50523,0,0,49556,62.89,64.4,2.9,4.72,967,3.99,1.95,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2395,研華,106,106,71235,0,0,70802,667.94,675.0,-13,-1.89,433,5.62,0.61,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2397,友通,1045,1045,66378,0,0,68544,65.59,63.8,0.9,1.43,-2166,5.24,-3.16,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2408,南亞科,198,198,106645,0,0,94580,477.68,541.0,24,4.64,12065,8.42,12.76,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,57645,0,0,54777,54.78,57.9,0.3,0.52,2868,4.55,5.24,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,94183,0,0,97939,97.94,94.6,3.4,3.73,-3756,7.43,-3.84,TWD,
2026-08-27,,USER_PASTED_EOD,現股,2886,兆豐金,1,1,45,0,0,40,40.0,46.15,-0.45,-0.97,5,0.00,12.5,TWD,
2026-08-27,,USER_PASTED_EOD,現股,3006,晶豪科,257,257,70107,0,0,68974,268.38,274.0,0.5,0.18,1133,5.53,1.64,TWD,
2026-08-27,,USER_PASTED_EOD,現股,3044,健鼎,200,200,95775,0,0,99141,495.71,481.0,0,0.00,-3366,7.56,-3.4,TWD,
2026-08-27,,USER_PASTED_EOD,現股,6672,騰輝電子-KY,347,347,97248,0,0,97993,282.4,281.5,5,1.81,-745,7.67,-0.76,TWD,
