asof_date,effective_date,strategy_id,stock_code,stock_name,industry,entry_display,entry_price,close,magnitude_pct,direction,signed_return_pct,signal,source,quality_note
2026-09-16,2026-09-17,TRUST,2609,陽明,航運業,55.1,55.1,60.2,9.1,+,9.1,出,owner_strategy_card_2026-09-16,
2026-09-16,,TRUST,3231,緯創,電腦及週邊,199.5,199.5,183,8.4,-,-8.4,抱,owner_strategy_card_2026-09-16,
2026-09-16,,TRUST,3624,光頡,電子零組件,100.5,100.5,123,22.2,+,22.2,抱,owner_strategy_card_2026-09-16,
2026-09-16,,TRUST,4576,大銀微系統,電機機械,238.0,238.0,233,2.2,-,-2.2,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,1303,南亞,塑膠工業,237.5,237.5,224,5.8,-,-5.8,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,3006,晶豪科,半導體業,274.0,274.0,281,2.4,+,2.4,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,3374,精材,半導體業,472.0,472.0,424,10.3,-,-10.3,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,6179,亞通,其他,38.20,38.20,37.7,1.4,-,-1.4,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,6416,瑞祺電通,通信網路業,111.5,111.5,118,5.7,+,5.7,抱,owner_strategy_card_2026-09-16,
2026-09-16,,YOY,6426,統新,通信網路業,317.5,317.5,330,3.8,+,3.8,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,1709,和益,化學工業,32.55,32.55,39.05,23.4,+,23.4,抱,owner_strategy_card_2026-09-16,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=23.4+,implied=+20.0"
2026-09-16,,MARGIN,1712,興農,化學工業,41.05,41.05,39.6,3.7,-,-3.7,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,1714,和桐,化學工業,12.10,12.10,15.6,30.3,+,30.3,抱,owner_strategy_card_2026-09-16,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=30.3+,implied=+28.9"
2026-09-16,,MARGIN,2354,鴻準,其他電子業,63.1,63.1,65.2,3.2,+,3.2,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,2637,慧洋-KY,航運業,97.8,97.8,102.5,4.7,+,4.7,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,3046,建碁,電腦及週邊,57.7,57.7,52.1,9.8,-,-9.8,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,3380,明泰,通信網路業,30.25,30.25,30.2,0.3,-,-0.3,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,3605,宏致,電子零組件,108.0,108.0,140,31.2,+,31.2,抱,owner_strategy_card_2026-09-16,"PRINTED_PCT_VS_ENTRY_CLOSE_GAP:printed=31.2+,implied=+29.6"
2026-09-16,,MARGIN,6108,競國,電子零組件,24.25,24.25,23,5.3,-,-5.3,抱,owner_strategy_card_2026-09-16,
2026-09-16,,MARGIN,6213,聯茂,電子零組件,424.0,424.0,550,29.5,+,29.5,抱,owner_strategy_card_2026-09-16,
2026-09-16,,BREAKOUT,2030,彰源,鋼鐵工業,23.50,23.50,22.7,3.5,-,-3.5,抱,owner_strategy_card_2026-09-16,
2026-09-16,,BREAKOUT,3006,晶豪科,半導體業,290.5,290.5,281,3.4,-,-3.4,抱,owner_strategy_card_2026-09-16,
2026-09-16,,BREAKOUT,6218,豪勉,通信網路業,44.90,44.90,54.1,20.3,+,20.3,抱,owner_strategy_card_2026-09-16,
