effective_from,stock_code,stock_name,shares,avg_cost,market,basis,note
2025-08-25,1590,亞德客-KY,63,1537.17,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,1709,和益,3949,27.27,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2059,川湖,5,11997.00,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2103,台橡,2584,27.76,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2301,光寶科,626,269.09,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2354,鴻準,788,62.89,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2395,研華,106,667.94,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2397,友通,1045,65.59,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2408,南亞科,198,477.68,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2606,裕民,1000,68.80,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2609,陽明,1000,54.78,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,2886,兆豐金,1,40.00,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,3006,晶豪科,257,268.38,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,3044,健鼎,200,495.71,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
2025-08-25,6672,騰輝電子-KY,347,282.40,TWSE,ASSUMED_CONSTANT_FROM_SNAPSHOT,2026-08-24 快照股數往前假設不變；非真實建倉紀錄
