asof_date,stock_code,close,open,high,low,volume,source
2025-08-25,0050,52.7000,52.4500,52.9500,52.3500,64451775,TWSE_STOCK_DAY
2025-08-25,1590,816.0000,812.0000,822.0000,808.0000,3313685,TWSE_STOCK_DAY
2025-08-25,1709,18.4000,18.6000,18.6000,18.3000,569970,TWSE_STOCK_DAY
2025-08-25,2059,3035.0000,3070.0000,3105.0000,3035.0000,508720,TWSE_STOCK_DAY
2025-08-25,2103,17.5500,17.6000,17.7000,17.5000,487161,TWSE_STOCK_DAY
2025-08-25,2301,125.0000,127.0000,127.5000,124.5000,10329127,TWSE_STOCK_DAY
2025-08-25,2354,73.0000,70.8000,74.7000,70.6000,50762676,TWSE_STOCK_DAY
2025-08-25,2395,319.0000,318.5000,322.5000,317.0000,1429642,TWSE_STOCK_DAY
2025-08-25,2397,78.0000,76.2000,78.6000,74.8000,3840737,TWSE_STOCK_DAY
2025-08-25,2408,46.9500,46.3000,47.9000,46.2500,46093614,TWSE_STOCK_DAY
2025-08-25,2606,57.5000,57.2000,58.2000,56.5000,4653253,TWSE_STOCK_DAY
2025-08-25,2609,59.2000,59.7000,59.8000,58.9000,16820401,TWSE_STOCK_DAY
2025-08-25,2637,62.6000,62.5000,63.0000,61.3000,3244007,TWSE_STOCK_DAY
2025-08-25,2886,41.0000,41.4000,41.5000,40.8000,13235170,TWSE_STOCK_DAY
2025-08-25,3006,55.9000,55.4000,56.4000,55.4000,3227849,TWSE_STOCK_DAY
2025-08-25,3044,311.0000,317.0000,322.0000,309.5000,3496621,TWSE_STOCK_DAY
2025-08-25,6672,97.8000,96.5000,103.0000,96.1000,8692634,TWSE_STOCK_DAY
2025-08-25,TAIEX,24277.3800,24108.8100,24362.0200,24108.7500,0,TWSE_TAIEX_INDEX
2025-08-26,0050,52.7500,52.5500,52.8500,52.3000,42402036,TWSE_STOCK_DAY
2025-08-26,1590,816.0000,817.0000,825.0000,815.0000,1183295,TWSE_STOCK_DAY
2025-08-26,1709,18.3500,18.4500,18.5000,18.3500,539767,TWSE_STOCK_DAY
2025-08-26,2059,2980.0000,3035.0000,3075.0000,2955.0000,5291581,TWSE_STOCK_DAY
2025-08-26,2103,17.2000,17.5000,17.5500,17.2000,1402159,TWSE_STOCK_DAY
2025-08-26,2301,125.0000,125.0000,127.0000,123.0000,8871425,TWSE_STOCK_DAY
2025-08-26,2354,72.8000,73.5000,73.6000,72.5000,20289933,TWSE_STOCK_DAY
2025-08-26,2395,322.0000,322.0000,328.0000,319.5000,4871391,TWSE_STOCK_DAY
2025-08-26,2397,80.0000,78.7000,81.4000,77.2000,4523636,TWSE_STOCK_DAY
2025-08-26,2408,47.4500,46.8000,47.5500,46.2500,21769684,TWSE_STOCK_DAY
2025-08-26,2606,56.2000,57.3000,57.4000,56.2000,3822003,TWSE_STOCK_DAY
2025-08-26,2609,59.0000,59.2000,59.6000,58.6000,20248403,TWSE_STOCK_DAY
2025-08-26,2637,60.5000,62.6000,62.6000,60.5000,5574134,TWSE_STOCK_DAY
2025-08-26,2886,40.0500,41.0000,41.0000,40.0500,43870578,TWSE_STOCK_DAY
2025-08-26,3006,57.4000,56.4000,57.6000,55.9000,2725700,TWSE_STOCK_DAY
2025-08-26,3044,314.5000,311.5000,315.5000,310.5000,2528832,TWSE_STOCK_DAY
2025-08-26,6672,97.0000,98.0000,98.7000,96.2000,2299155,TWSE_STOCK_DAY
2025-08-26,TAIEX,24305.1000,24237.3600,24382.4200,24113.0300,0,TWSE_TAIEX_INDEX
2025-08-27,0050,53.0000,53.0000,53.1500,52.9000,91463591,TWSE_STOCK_DAY
2025-08-27,1590,816.0000,818.0000,823.0000,810.0000,591231,TWSE_STOCK_DAY
2025-08-27,1709,17.3500,17.4500,17.5000,17.3000,951154,TWSE_STOCK_DAY
2025-08-27,2059,2940.0000,3000.0000,3020.0000,2905.0000,842357,TWSE_STOCK_DAY
2025-08-27,2103,17.2000,17.1500,17.3000,17.1000,885553,TWSE_STOCK_DAY
2025-08-27,2301,131.0000,125.0000,133.0000,124.0000,28824994,TWSE_STOCK_DAY
2025-08-27,2354,71.8000,73.3000,73.4000,71.7000,17024100,TWSE_STOCK_DAY
2025-08-27,2395,354.0000,338.0000,354.0000,338.0000,7247165,TWSE_STOCK_DAY
2025-08-27,2397,82.9000,81.8000,85.5000,81.7000,7111769,TWSE_STOCK_DAY
2025-08-27,2408,47.8000,47.5000,48.3000,47.1500,38564515,TWSE_STOCK_DAY
2025-08-27,2606,57.0000,56.8000,57.9000,56.8000,3542164,TWSE_STOCK_DAY
2025-08-27,2609,58.6000,58.9000,59.3000,58.5000,12977720,TWSE_STOCK_DAY
2025-08-27,2637,62.2000,61.2000,62.6000,61.1000,3704894,TWSE_STOCK_DAY
2025-08-27,2886,40.2500,40.1500,40.6000,40.1500,16177057,TWSE_STOCK_DAY
2025-08-27,3006,57.3000,57.7000,58.0000,56.9000,2087386,TWSE_STOCK_DAY
2025-08-27,3044,325.5000,317.0000,328.0000,314.0000,6016408,TWSE_STOCK_DAY
2025-08-27,6672,105.5000,97.9000,106.5000,97.4000,11448376,TWSE_STOCK_DAY
2025-08-27,TAIEX,24519.9000,24449.8100,24539.8800,24410.0800,0,TWSE_TAIEX_INDEX
2025-08-28,0050,52.5000,52.8000,52.9000,52.5000,61856984,TWSE_STOCK_DAY
2025-08-28,1590,800.0000,813.0000,813.0000,800.0000,1258018,TWSE_STOCK_DAY
2025-08-28,1709,17.1000,17.4000,17.4000,17.0000,457351,TWSE_STOCK_DAY
2025-08-28,2059,2925.0000,2920.0000,2965.0000,2905.0000,653734,TWSE_STOCK_DAY
2025-08-28,2103,17.0000,17.1500,17.1500,17.0000,1173340,TWSE_STOCK_DAY
2025-08-28,2301,130.0000,131.0000,132.5000,129.0000,10836889,TWSE_STOCK_DAY
2025-08-28,2354,71.7000,71.9000,72.7000,71.0000,12820791,TWSE_STOCK_DAY
2025-08-28,2395,354.5000,364.5000,377.0000,354.0000,13982712,TWSE_STOCK_DAY
2025-08-28,2397,79.8000,82.0000,82.0000,79.7000,2003182,TWSE_STOCK_DAY
2025-08-28,2408,46.6500,48.0000,48.0000,46.6500,25010560,TWSE_STOCK_DAY
2025-08-28,2606,57.3000,57.4000,58.4000,57.0000,4954896,TWSE_STOCK_DAY
2025-08-28,2609,58.8000,58.6000,60.0000,58.6000,18450286,TWSE_STOCK_DAY
2025-08-28,2637,61.8000,62.5000,63.3000,61.8000,3460951,TWSE_STOCK_DAY
2025-08-28,2886,40.3500,40.2500,40.8500,40.2500,19362789,TWSE_STOCK_DAY
2025-08-28,3006,57.4000,57.3000,58.1000,56.8000,1507306,TWSE_STOCK_DAY
2025-08-28,3044,318.0000,325.5000,325.5000,317.5000,2455372,TWSE_STOCK_DAY
2025-08-28,6672,103.5000,104.5000,105.5000,100.0000,8030236,TWSE_STOCK_DAY
2025-08-28,TAIEX,24236.4500,24468.1200,24502.3700,24236.4500,0,TWSE_TAIEX_INDEX
2025-08-29,0050,52.5000,52.8000,52.9500,52.5000,37614042,TWSE_STOCK_DAY
2025-08-29,1590,789.0000,795.0000,797.0000,782.0000,1680032,TWSE_STOCK_DAY
2025-08-29,1709,16.9500,17.2000,17.2000,16.9000,465431,TWSE_STOCK_DAY
2025-08-29,2059,3025.0000,2950.0000,3045.0000,2950.0000,807706,TWSE_STOCK_DAY
2025-08-29,2103,17.1000,17.1000,17.1500,17.0000,570496,TWSE_STOCK_DAY
2025-08-29,2301,130.0000,131.0000,135.0000,130.0000,23152125,TWSE_STOCK_DAY
2025-08-29,2354,71.1000,72.7000,73.0000,71.1000,14620251,TWSE_STOCK_DAY
2025-08-29,2395,344.0000,358.5000,360.5000,344.0000,6474708,TWSE_STOCK_DAY
2025-08-29,2397,78.7000,80.3000,80.5000,78.1000,1383305,TWSE_STOCK_DAY
2025-08-29,2408,47.0000,47.7000,50.3000,47.0000,84741007,TWSE_STOCK_DAY
2025-08-29,2606,56.3000,57.4000,57.6000,56.2000,4648835,TWSE_STOCK_DAY
2025-08-29,2609,57.7000,58.7000,58.9000,57.7000,24199447,TWSE_STOCK_DAY
2025-08-29,2637,60.6000,62.3000,62.4000,60.6000,3855759,TWSE_STOCK_DAY
2025-08-29,2886,40.0500,40.4500,40.5000,39.9500,25595810,TWSE_STOCK_DAY
2025-08-29,3006,57.1000,58.2000,59.5000,57.1000,2799934,TWSE_STOCK_DAY
2025-08-29,3044,321.5000,321.5000,327.0000,320.0000,3455675,TWSE_STOCK_DAY
2025-08-29,6672,109.5000,106.0000,113.0000,103.5000,19714514,TWSE_STOCK_DAY
2025-08-29,TAIEX,24233.1000,24438.0300,24570.1500,24233.1000,0,TWSE_TAIEX_INDEX
2025-09-01,0050,52.0000,52.1500,52.4500,51.7500,82748402,TWSE_STOCK_DAY
2025-09-01,1590,777.0000,784.0000,790.0000,774.0000,1332894,TWSE_STOCK_DAY
2025-09-01,1709,16.7000,17.0000,17.1000,16.7000,409690,TWSE_STOCK_DAY
2025-09-01,2059,2965.0000,3020.0000,3070.0000,2940.0000,778118,TWSE_STOCK_DAY
2025-09-01,2103,16.8500,17.1000,17.1000,16.8500,1033755,TWSE_STOCK_DAY
2025-09-01,2301,126.0000,129.5000,130.5000,124.0000,13897980,TWSE_STOCK_DAY
2025-09-01,2354,69.2000,71.3000,71.3000,69.0000,13653549,TWSE_STOCK_DAY
2025-09-01,2395,344.0000,348.0000,356.0000,344.0000,4696150,TWSE_STOCK_DAY
2025-09-01,2397,80.3000,78.6000,80.9000,77.6000,1961378,TWSE_STOCK_DAY
2025-09-01,2408,46.7500,46.8500,47.5000,45.8500,27786909,TWSE_STOCK_DAY
2025-09-01,2606,55.3000,56.0000,56.6000,54.8000,4984389,TWSE_STOCK_DAY
2025-09-01,2609,57.2000,58.7000,59.0000,57.1000,17075668,TWSE_STOCK_DAY
2025-09-01,2637,59.6000,60.6000,61.2000,59.4000,3125917,TWSE_STOCK_DAY
2025-09-01,2886,40.8000,40.4000,41.0500,40.3500,18431876,TWSE_STOCK_DAY
2025-09-01,3006,57.1000,57.1000,58.0000,56.2000,2092650,TWSE_STOCK_DAY
2025-09-01,3044,306.5000,322.0000,322.0000,302.0000,4216537,TWSE_STOCK_DAY
2025-09-01,6672,107.0000,109.5000,114.0000,106.0000,13352969,TWSE_STOCK_DAY
2025-09-01,TAIEX,24071.7300,24143.3700,24312.8300,23885.4100,0,TWSE_TAIEX_INDEX
2025-09-02,0050,52.0000,52.3000,52.5000,51.9500,34866736,TWSE_STOCK_DAY
2025-09-02,1590,781.0000,786.0000,789.0000,770.0000,700685,TWSE_STOCK_DAY
2025-09-02,1709,16.7000,16.7000,16.7500,16.6000,307837,TWSE_STOCK_DAY
2025-09-02,2059,2930.0000,3000.0000,3025.0000,2925.0000,486966,TWSE_STOCK_DAY
2025-09-02,2103,16.9500,17.0000,17.0000,16.7500,584422,TWSE_STOCK_DAY
2025-09-02,2301,125.0000,127.0000,128.5000,122.5000,12192391,TWSE_STOCK_DAY
2025-09-02,2354,67.7000,69.7000,70.2000,66.5000,16305541,TWSE_STOCK_DAY
2025-09-02,2395,337.5000,347.0000,348.0000,335.5000,2433905,TWSE_STOCK_DAY
2025-09-02,2397,81.2000,81.9000,82.6000,80.3000,3734160,TWSE_STOCK_DAY
2025-09-02,2408,45.6500,47.3000,47.3000,45.2000,30642714,TWSE_STOCK_DAY
2025-09-02,2606,55.6000,55.5000,55.8000,54.5000,3279760,TWSE_STOCK_DAY
2025-09-02,2609,56.9000,57.2000,57.6000,56.7000,11199999,TWSE_STOCK_DAY
2025-09-02,2637,59.0000,59.8000,59.9000,58.5000,2759155,TWSE_STOCK_DAY
2025-09-02,2886,41.1000,40.8000,41.1000,40.7000,8411490,TWSE_STOCK_DAY
2025-09-02,3006,57.0000,57.7000,58.1000,56.0000,1459716,TWSE_STOCK_DAY
2025-09-02,3044,299.0000,310.0000,310.5000,294.0000,6451990,TWSE_STOCK_DAY
2025-09-02,6672,106.0000,109.0000,110.5000,104.0000,5841516,TWSE_STOCK_DAY
2025-09-02,TAIEX,24016.7800,24113.9000,24295.0300,23890.3300,0,TWSE_TAIEX_INDEX
2025-09-03,0050,51.9500,51.9000,52.2000,51.7500,41247523,TWSE_STOCK_DAY
2025-09-03,1590,794.0000,787.0000,799.0000,786.0000,751338,TWSE_STOCK_DAY
2025-09-03,1709,16.6000,16.7000,16.8000,16.5500,392493,TWSE_STOCK_DAY
2025-09-03,2059,3130.0000,2910.0000,3185.0000,2905.0000,1252213,TWSE_STOCK_DAY
2025-09-03,2103,16.8000,16.9500,16.9500,16.7500,605188,TWSE_STOCK_DAY
2025-09-03,2301,125.0000,125.5000,127.0000,124.5000,4836067,TWSE_STOCK_DAY
2025-09-03,2354,69.4000,67.7000,69.8000,67.1000,12615334,TWSE_STOCK_DAY
2025-09-03,2395,336.5000,337.0000,341.0000,336.0000,2000274,TWSE_STOCK_DAY
2025-09-03,2397,79.2000,79.4000,80.0000,78.7000,1457431,TWSE_STOCK_DAY
2025-09-03,2408,46.3500,46.2500,47.8500,46.0500,38198651,TWSE_STOCK_DAY
2025-09-03,2606,54.8000,55.2000,55.4000,54.4000,3625244,TWSE_STOCK_DAY
2025-09-03,2609,57.4000,56.9000,57.6000,56.9000,7642155,TWSE_STOCK_DAY
2025-09-03,2637,57.7000,58.9000,59.0000,57.6000,3965171,TWSE_STOCK_DAY
2025-09-03,2886,41.1000,41.0000,41.3000,41.0000,6974459,TWSE_STOCK_DAY
2025-09-03,3006,58.1000,57.3000,59.3000,57.2000,2341749,TWSE_STOCK_DAY
